[epoch:0, iter:1] avg_LOSS: 2.298 | avg_ACC: 12.000% 
[epoch:0, iter:2] avg_LOSS: 2.298 | avg_ACC: 12.500% 
[epoch:0, iter:3] avg_LOSS: 2.302 | avg_ACC: 11.667% 
[epoch:0, iter:4] avg_LOSS: 2.305 | avg_ACC: 10.750% 
[epoch:0, iter:5] avg_LOSS: 2.305 | avg_ACC: 10.600% 
[epoch:0, iter:6] avg_LOSS: 2.305 | avg_ACC: 10.167% 
[epoch:0, iter:7] avg_LOSS: 2.305 | avg_ACC: 10.000% 
[epoch:0, iter:8] avg_LOSS: 2.304 | avg_ACC: 10.000% 
[epoch:0, iter:9] avg_LOSS: 2.303 | avg_ACC: 10.556% 
[epoch:0, iter:10] avg_LOSS: 2.302 | avg_ACC: 10.300% 
[epoch:0, iter:11] avg_LOSS: 2.302 | avg_ACC: 10.545% 
[epoch:0, iter:12] avg_LOSS: 2.301 | avg_ACC: 10.583% 
[epoch:0, iter:13] avg_LOSS: 2.301 | avg_ACC: 10.462% 
[epoch:0, iter:14] avg_LOSS: 2.301 | avg_ACC: 10.714% 
[epoch:0, iter:15] avg_LOSS: 2.302 | avg_ACC: 10.667% 
[epoch:0, iter:16] avg_LOSS: 2.300 | avg_ACC: 11.375% 
[epoch:0, iter:17] avg_LOSS: 2.300 | avg_ACC: 11.588% 
[epoch:0, iter:18] avg_LOSS: 2.301 | avg_ACC: 11.444% 
[epoch:0, iter:19] avg_LOSS: 2.300 | avg_ACC: 11.421% 
[epoch:0, iter:20] avg_LOSS: 2.300 | avg_ACC: 11.700% 
[epoch:0, iter:21] avg_LOSS: 2.300 | avg_ACC: 11.667% 
[epoch:0, iter:22] avg_LOSS: 2.300 | avg_ACC: 11.500% 
[epoch:0, iter:23] avg_LOSS: 2.300 | avg_ACC: 11.478% 
[epoch:0, iter:24] avg_LOSS: 2.299 | avg_ACC: 11.333% 
[epoch:0, iter:25] avg_LOSS: 2.300 | avg_ACC: 11.360% 
[epoch:0, iter:26] avg_LOSS: 2.299 | avg_ACC: 11.615% 
[epoch:0, iter:27] avg_LOSS: 2.298 | avg_ACC: 11.926% 
[epoch:0, iter:28] avg_LOSS: 2.297 | avg_ACC: 12.000% 
[epoch:0, iter:29] avg_LOSS: 2.297 | avg_ACC: 11.966% 
[epoch:0, iter:30] avg_LOSS: 2.297 | avg_ACC: 11.933% 
[epoch:0, iter:31] avg_LOSS: 2.296 | avg_ACC: 12.194% 
[epoch:0, iter:32] avg_LOSS: 2.296 | avg_ACC: 12.062% 
[epoch:0, iter:33] avg_LOSS: 2.295 | avg_ACC: 12.212% 
[epoch:0, iter:34] avg_LOSS: 2.294 | avg_ACC: 12.382% 
[epoch:0, iter:35] avg_LOSS: 2.293 | avg_ACC: 12.371% 
[epoch:0, iter:36] avg_LOSS: 2.293 | avg_ACC: 12.389% 
[epoch:0, iter:37] avg_LOSS: 2.292 | avg_ACC: 12.432% 
[epoch:0, iter:38] avg_LOSS: 2.291 | avg_ACC: 12.553% 
