EPOCH=001,Accuracy= 58.800%
EPOCH=002,Accuracy= 67.380%
EPOCH=003,Accuracy= 76.320%
EPOCH=004,Accuracy= 76.110%
EPOCH=005,Accuracy= 77.920%
EPOCH=006,Accuracy= 83.150%
EPOCH=007,Accuracy= 83.340%
EPOCH=008,Accuracy= 83.690%
EPOCH=009,Accuracy= 80.880%
EPOCH=010,Accuracy= 85.790%
EPOCH=011,Accuracy= 86.250%
EPOCH=012,Accuracy= 86.300%
EPOCH=013,Accuracy= 86.830%
EPOCH=014,Accuracy= 86.250%
EPOCH=015,Accuracy= 86.680%
EPOCH=016,Accuracy= 85.760%
EPOCH=017,Accuracy= 86.870%
EPOCH=018,Accuracy= 89.060%
EPOCH=019,Accuracy= 88.340%
EPOCH=020,Accuracy= 89.290%
EPOCH=021,Accuracy= 89.590%
EPOCH=022,Accuracy= 89.300%
EPOCH=023,Accuracy= 89.320%
EPOCH=024,Accuracy= 87.170%
EPOCH=025,Accuracy= 89.240%
EPOCH=026,Accuracy= 88.950%
EPOCH=027,Accuracy= 89.680%
EPOCH=028,Accuracy= 88.160%
EPOCH=029,Accuracy= 88.830%
EPOCH=030,Accuracy= 89.130%
EPOCH=031,Accuracy= 89.820%
EPOCH=032,Accuracy= 89.120%
EPOCH=033,Accuracy= 89.820%
EPOCH=034,Accuracy= 89.880%
EPOCH=035,Accuracy= 90.720%
EPOCH=036,Accuracy= 90.330%
EPOCH=037,Accuracy= 90.600%
EPOCH=038,Accuracy= 90.160%
EPOCH=039,Accuracy= 91.060%
EPOCH=040,Accuracy= 90.470%
EPOCH=041,Accuracy= 90.580%
EPOCH=042,Accuracy= 89.560%
EPOCH=043,Accuracy= 89.660%
EPOCH=044,Accuracy= 91.280%
EPOCH=045,Accuracy= 90.740%
EPOCH=046,Accuracy= 90.130%
EPOCH=047,Accuracy= 90.690%
EPOCH=048,Accuracy= 89.840%
EPOCH=049,Accuracy= 90.950%
EPOCH=050,Accuracy= 89.540%
EPOCH=051,Accuracy= 91.300%
EPOCH=052,Accuracy= 90.750%
EPOCH=053,Accuracy= 90.880%
EPOCH=054,Accuracy= 90.880%
EPOCH=055,Accuracy= 91.150%
EPOCH=056,Accuracy= 90.980%
EPOCH=057,Accuracy= 91.320%
EPOCH=058,Accuracy= 90.090%
EPOCH=059,Accuracy= 90.510%
EPOCH=060,Accuracy= 90.450%
EPOCH=061,Accuracy= 91.020%
EPOCH=062,Accuracy= 90.770%
EPOCH=063,Accuracy= 89.410%
EPOCH=064,Accuracy= 91.390%
EPOCH=065,Accuracy= 91.260%
EPOCH=066,Accuracy= 91.400%
EPOCH=067,Accuracy= 91.120%
EPOCH=068,Accuracy= 90.610%
