001  00001 |Loss: 2.375 | Acc: 11.719% 
001  00002 |Loss: 2.353 | Acc: 12.109% 
001  00003 |Loss: 2.339 | Acc: 13.021% 
001  00004 |Loss: 2.315 | Acc: 13.672% 
001  00005 |Loss: 2.310 | Acc: 14.375% 
001  00006 |Loss: 2.298 | Acc: 14.714% 
001  00007 |Loss: 2.268 | Acc: 15.960% 
001  00008 |Loss: 2.261 | Acc: 16.309% 
001  00009 |Loss: 2.245 | Acc: 16.840% 
001  00010 |Loss: 2.221 | Acc: 17.344% 
001  00011 |Loss: 2.209 | Acc: 17.685% 
001  00012 |Loss: 2.207 | Acc: 18.294% 
001  00013 |Loss: 2.188 | Acc: 19.231% 
001  00014 |Loss: 2.181 | Acc: 19.754% 
001  00015 |Loss: 2.172 | Acc: 20.000% 
001  00016 |Loss: 2.165 | Acc: 20.312% 
001  00017 |Loss: 2.155 | Acc: 20.588% 
001  00018 |Loss: 2.151 | Acc: 20.443% 
001  00019 |Loss: 2.142 | Acc: 20.724% 
001  00020 |Loss: 2.131 | Acc: 21.094% 
001  00021 |Loss: 2.118 | Acc: 21.466% 
001  00022 |Loss: 2.110 | Acc: 21.839% 
001  00023 |Loss: 2.097 | Acc: 22.486% 
001  00024 |Loss: 2.087 | Acc: 22.819% 
001  00025 |Loss: 2.079 | Acc: 23.250% 
001  00026 |Loss: 2.070 | Acc: 23.498% 
001  00027 |Loss: 2.060 | Acc: 23.727% 
001  00028 |Loss: 2.050 | Acc: 23.772% 
001  00029 |Loss: 2.047 | Acc: 23.734% 
001  00030 |Loss: 2.038 | Acc: 23.932% 
001  00031 |Loss: 2.033 | Acc: 24.345% 
001  00032 |Loss: 2.023 | Acc: 24.731% 
001  00033 |Loss: 2.015 | Acc: 25.024% 
001  00034 |Loss: 2.009 | Acc: 25.253% 
001  00035 |Loss: 2.004 | Acc: 25.446% 
001  00036 |Loss: 1.998 | Acc: 25.933% 
001  00037 |Loss: 1.996 | Acc: 26.056% 
001  00038 |Loss: 1.994 | Acc: 26.049% 
001  00039 |Loss: 1.989 | Acc: 26.222% 
001  00040 |Loss: 1.979 | Acc: 26.504% 
001  00041 |Loss: 1.973 | Acc: 26.715% 
001  00042 |Loss: 1.973 | Acc: 26.674% 
001  00043 |Loss: 1.972 | Acc: 26.781% 
001  00044 |Loss: 1.965 | Acc: 27.166% 
001  00045 |Loss: 1.965 | Acc: 27.153% 
001  00046 |Loss: 1.962 | Acc: 27.293% 
001  00047 |Loss: 1.960 | Acc: 27.261% 
001  00048 |Loss: 1.955 | Acc: 27.360% 
001  00049 |Loss: 1.951 | Acc: 27.567% 
001  00050 |Loss: 1.945 | Acc: 27.797% 
001  00051 |Loss: 1.937 | Acc: 27.987% 
001  00052 |Loss: 1.936 | Acc: 28.005% 
001  00053 |Loss: 1.933 | Acc: 28.243% 
001  00054 |Loss: 1.934 | Acc: 28.241% 
001  00055 |Loss: 1.930 | Acc: 28.338% 
001  00056 |Loss: 1.926 | Acc: 28.390% 
001  00057 |Loss: 1.920 | Acc: 28.646% 
001  00058 |Loss: 1.918 | Acc: 28.691% 
001  00059 |Loss: 1.916 | Acc: 28.787% 
001  00060 |Loss: 1.911 | Acc: 29.023% 
001  00061 |Loss: 1.909 | Acc: 29.150% 
001  00062 |Loss: 1.909 | Acc: 29.158% 
001  00063 |Loss: 1.905 | Acc: 29.353% 
001  00064 |Loss: 1.902 | Acc: 29.395% 
001  00065 |Loss: 1.898 | Acc: 29.435% 
001  00066 |Loss: 1.898 | Acc: 29.403% 
001  00067 |Loss: 1.893 | Acc: 29.571% 
001  00068 |Loss: 1.889 | Acc: 29.688% 
001  00069 |Loss: 1.886 | Acc: 29.789% 
001  00070 |Loss: 1.884 | Acc: 29.888% 
001  00071 |Loss: 1.881 | Acc: 29.974% 
001  00072 |Loss: 1.878 | Acc: 30.132% 
001  00073 |Loss: 1.873 | Acc: 30.265% 
001  00074 |Loss: 1.866 | Acc: 30.511% 
001  00075 |Loss: 1.866 | Acc: 30.552% 
001  00076 |Loss: 1.864 | Acc: 30.685% 
001  00077 |Loss: 1.860 | Acc: 30.844% 
001  00078 |Loss: 1.859 | Acc: 30.909% 
001  00079 |Loss: 1.857 | Acc: 30.983% 
001  00080 |Loss: 1.853 | Acc: 31.182% 
001  00081 |Loss: 1.852 | Acc: 31.231% 
001  00082 |Loss: 1.848 | Acc: 31.336% 
001  00083 |Loss: 1.848 | Acc: 31.391% 
001  00084 |Loss: 1.844 | Acc: 31.520% 
001  00085 |Loss: 1.842 | Acc: 31.608% 
001  00086 |Loss: 1.837 | Acc: 31.795% 
001  00087 |Loss: 1.835 | Acc: 31.897% 
001  00088 |Loss: 1.831 | Acc: 32.022% 
001  00089 |Loss: 1.830 | Acc: 32.110% 
001  00090 |Loss: 1.826 | Acc: 32.222% 
001  00091 |Loss: 1.824 | Acc: 32.323% 
001  00092 |Loss: 1.821 | Acc: 32.379% 
001  00093 |Loss: 1.820 | Acc: 32.384% 
001  00094 |Loss: 1.817 | Acc: 32.455% 
001  00095 |Loss: 1.815 | Acc: 32.558% 
001  00096 |Loss: 1.815 | Acc: 32.585% 
001  00097 |Loss: 1.812 | Acc: 32.692% 
001  00098 |Loss: 1.809 | Acc: 32.749% 
001  00099 |Loss: 1.805 | Acc: 32.947% 
001  00100 |Loss: 1.802 | Acc: 33.094% 
001  00101 |Loss: 1.799 | Acc: 33.184% 
001  00102 |Loss: 1.796 | Acc: 33.241% 
001  00103 |Loss: 1.795 | Acc: 33.268% 
001  00104 |Loss: 1.793 | Acc: 33.331% 
001  00105 |Loss: 1.791 | Acc: 33.430% 
001  00106 |Loss: 1.788 | Acc: 33.520% 
001  00107 |Loss: 1.787 | Acc: 33.601% 
001  00108 |Loss: 1.785 | Acc: 33.709% 
001  00109 |Loss: 1.784 | Acc: 33.751% 
001  00110 |Loss: 1.781 | Acc: 33.871% 
001  00111 |Loss: 1.779 | Acc: 33.882% 
001  00112 |Loss: 1.776 | Acc: 33.963% 
001  00113 |Loss: 1.775 | Acc: 33.995% 
001  00114 |Loss: 1.774 | Acc: 34.060% 
001  00115 |Loss: 1.771 | Acc: 34.158% 
001  00116 |Loss: 1.769 | Acc: 34.261% 
001  00117 |Loss: 1.766 | Acc: 34.348% 
001  00118 |Loss: 1.765 | Acc: 34.435% 
001  00119 |Loss: 1.763 | Acc: 34.552% 
001  00120 |Loss: 1.760 | Acc: 34.707% 
001  00121 |Loss: 1.756 | Acc: 34.840% 
001  00122 |Loss: 1.755 | Acc: 34.881% 
001  00123 |Loss: 1.753 | Acc: 34.959% 
001  00124 |Loss: 1.751 | Acc: 34.999% 
001  00125 |Loss: 1.749 | Acc: 35.081% 
001  00126 |Loss: 1.748 | Acc: 35.088% 
001  00127 |Loss: 1.745 | Acc: 35.169% 
001  00128 |Loss: 1.743 | Acc: 35.211% 
001  00129 |Loss: 1.740 | Acc: 35.289% 
001  00130 |Loss: 1.738 | Acc: 35.355% 
001  00131 |Loss: 1.736 | Acc: 35.413% 
001  00132 |Loss: 1.734 | Acc: 35.511% 
001  00133 |Loss: 1.732 | Acc: 35.550% 
001  00134 |Loss: 1.732 | Acc: 35.541% 
001  00135 |Loss: 1.730 | Acc: 35.631% 
001  00136 |Loss: 1.727 | Acc: 35.777% 
001  00137 |Loss: 1.725 | Acc: 35.823% 
001  00138 |Loss: 1.724 | Acc: 35.892% 
001  00139 |Loss: 1.723 | Acc: 35.904% 
001  00140 |Loss: 1.722 | Acc: 35.949% 
001  00141 |Loss: 1.720 | Acc: 36.026% 
001  00142 |Loss: 1.718 | Acc: 36.141% 
001  00143 |Loss: 1.716 | Acc: 36.222% 
001  00144 |Loss: 1.716 | Acc: 36.252% 
001  00145 |Loss: 1.717 | Acc: 36.261% 
001  00146 |Loss: 1.715 | Acc: 36.291% 
001  00147 |Loss: 1.715 | Acc: 36.347% 
001  00148 |Loss: 1.714 | Acc: 36.365% 
001  00149 |Loss: 1.712 | Acc: 36.441% 
001  00150 |Loss: 1.712 | Acc: 36.484% 
001  00151 |Loss: 1.709 | Acc: 36.517% 
001  00152 |Loss: 1.709 | Acc: 36.549% 
001  00153 |Loss: 1.707 | Acc: 36.566% 
001  00154 |Loss: 1.705 | Acc: 36.658% 
001  00155 |Loss: 1.703 | Acc: 36.729% 
001  00156 |Loss: 1.703 | Acc: 36.719% 
001  00157 |Loss: 1.702 | Acc: 36.759% 
001  00158 |Loss: 1.701 | Acc: 36.778% 
001  00159 |Loss: 1.699 | Acc: 36.822% 
001  00160 |Loss: 1.698 | Acc: 36.875% 
001  00161 |Loss: 1.696 | Acc: 36.971% 
001  00162 |Loss: 1.694 | Acc: 37.056% 
001  00163 |Loss: 1.693 | Acc: 37.088% 
001  00164 |Loss: 1.691 | Acc: 37.162% 
001  00165 |Loss: 1.691 | Acc: 37.169% 
001  00166 |Loss: 1.690 | Acc: 37.222% 
001  00167 |Loss: 1.688 | Acc: 37.280% 
001  00168 |Loss: 1.686 | Acc: 37.309% 
001  00169 |Loss: 1.685 | Acc: 37.375% 
001  00170 |Loss: 1.683 | Acc: 37.413% 
001  00171 |Loss: 1.682 | Acc: 37.463% 
001  00172 |Loss: 1.681 | Acc: 37.523% 
001  00173 |Loss: 1.678 | Acc: 37.608% 
001  00174 |Loss: 1.677 | Acc: 37.648% 
001  00175 |Loss: 1.676 | Acc: 37.705% 
001  00176 |Loss: 1.675 | Acc: 37.740% 
001  00177 |Loss: 1.673 | Acc: 37.787% 
001  00178 |Loss: 1.671 | Acc: 37.838% 
001  00179 |Loss: 1.669 | Acc: 37.936% 
001  00180 |Loss: 1.669 | Acc: 37.995% 
001  00181 |Loss: 1.667 | Acc: 38.048% 
001  00182 |Loss: 1.665 | Acc: 38.088% 
001  00183 |Loss: 1.664 | Acc: 38.128% 
001  00184 |Loss: 1.662 | Acc: 38.150% 
001  00185 |Loss: 1.661 | Acc: 38.201% 
001  00186 |Loss: 1.660 | Acc: 38.256% 
001  00187 |Loss: 1.658 | Acc: 38.323% 
001  00188 |Loss: 1.656 | Acc: 38.398% 
001  00189 |Loss: 1.655 | Acc: 38.455% 
001  00190 |Loss: 1.654 | Acc: 38.520% 
001  00191 |Loss: 1.652 | Acc: 38.563% 
001  00192 |Loss: 1.651 | Acc: 38.590% 
001  00193 |Loss: 1.649 | Acc: 38.646% 
001  00194 |Loss: 1.648 | Acc: 38.704% 
001  00195 |Loss: 1.646 | Acc: 38.750% 
