[epoch:0, iter:1] LOSS: 2.367 | avg_ACC: 6.250% 
[epoch:0, iter:2] LOSS: 2.276 | avg_ACC: 10.156% 
[epoch:0, iter:3] LOSS: 2.312 | avg_ACC: 9.375% 
[epoch:0, iter:4] LOSS: 2.365 | avg_ACC: 9.766% 
[epoch:0, iter:5] LOSS: 2.232 | avg_ACC: 10.938% 
[epoch:0, iter:6] LOSS: 2.485 | avg_ACC: 11.458% 
[epoch:0, iter:7] LOSS: 2.307 | avg_ACC: 12.054% 
[epoch:0, iter:8] LOSS: 2.262 | avg_ACC: 12.500% 
[epoch:0, iter:9] LOSS: 2.294 | avg_ACC: 12.674% 
[epoch:0, iter:10] LOSS: 2.224 | avg_ACC: 13.750% 
[epoch:0, iter:11] LOSS: 2.284 | avg_ACC: 14.062% 
[epoch:0, iter:12] LOSS: 2.051 | avg_ACC: 14.844% 
[epoch:0, iter:13] LOSS: 2.228 | avg_ACC: 15.264% 
[epoch:0, iter:14] LOSS: 1.995 | avg_ACC: 16.071% 
[epoch:0, iter:15] LOSS: 2.071 | avg_ACC: 16.979% 
[epoch:0, iter:16] LOSS: 1.816 | avg_ACC: 17.578% 
[epoch:0, iter:17] LOSS: 2.259 | avg_ACC: 17.647% 
[epoch:0, iter:18] LOSS: 1.993 | avg_ACC: 18.316% 
[epoch:0, iter:19] LOSS: 1.882 | avg_ACC: 18.668% 
[epoch:0, iter:20] LOSS: 2.510 | avg_ACC: 18.828% 
[epoch:0, iter:21] LOSS: 2.030 | avg_ACC: 19.196% 
[epoch:0, iter:22] LOSS: 2.048 | avg_ACC: 19.176% 
[epoch:0, iter:23] LOSS: 2.059 | avg_ACC: 19.226% 
[epoch:0, iter:24] LOSS: 2.031 | avg_ACC: 19.271% 
[epoch:0, iter:25] LOSS: 2.373 | avg_ACC: 19.188% 
[epoch:0, iter:26] LOSS: 2.659 | avg_ACC: 19.171% 
[epoch:0, iter:27] LOSS: 1.914 | avg_ACC: 19.560% 
[epoch:0, iter:28] LOSS: 2.112 | avg_ACC: 19.587% 
