[epoch:0, iter:1] avg_LOSS: 2.411 | avg_ACC: 9.000% 
[epoch:0, iter:2] avg_LOSS: 2.364 | avg_ACC: 8.000% 
[epoch:0, iter:3] avg_LOSS: 2.333 | avg_ACC: 10.333% 
[epoch:0, iter:4] avg_LOSS: 2.332 | avg_ACC: 12.000% 
[epoch:0, iter:5] avg_LOSS: 2.326 | avg_ACC: 12.400% 
[epoch:0, iter:6] avg_LOSS: 2.317 | avg_ACC: 12.500% 
[epoch:0, iter:7] avg_LOSS: 2.299 | avg_ACC: 13.143% 
[epoch:0, iter:8] avg_LOSS: 2.291 | avg_ACC: 13.250% 
[epoch:0, iter:9] avg_LOSS: 2.280 | avg_ACC: 13.778% 
[epoch:0, iter:10] avg_LOSS: 2.258 | avg_ACC: 15.000% 
[epoch:0, iter:11] avg_LOSS: 2.243 | avg_ACC: 16.273% 
[epoch:0, iter:12] avg_LOSS: 2.229 | avg_ACC: 17.417% 
[epoch:0, iter:13] avg_LOSS: 2.216 | avg_ACC: 17.923% 
[epoch:0, iter:14] avg_LOSS: 2.199 | avg_ACC: 18.571% 
[epoch:0, iter:15] avg_LOSS: 2.180 | avg_ACC: 18.600% 
[epoch:0, iter:16] avg_LOSS: 2.161 | avg_ACC: 19.250% 
[epoch:0, iter:17] avg_LOSS: 2.150 | avg_ACC: 19.529% 
[epoch:0, iter:18] avg_LOSS: 2.138 | avg_ACC: 20.333% 
[epoch:0, iter:19] avg_LOSS: 2.124 | avg_ACC: 20.947% 
[epoch:0, iter:20] avg_LOSS: 2.118 | avg_ACC: 21.350% 
[epoch:0, iter:21] avg_LOSS: 2.108 | avg_ACC: 21.905% 
[epoch:0, iter:22] avg_LOSS: 2.098 | avg_ACC: 22.227% 
[epoch:0, iter:23] avg_LOSS: 2.083 | avg_ACC: 22.913% 
[epoch:0, iter:24] avg_LOSS: 2.080 | avg_ACC: 23.125% 
[epoch:0, iter:25] avg_LOSS: 2.076 | avg_ACC: 23.200% 
[epoch:0, iter:26] avg_LOSS: 2.059 | avg_ACC: 23.846% 
[epoch:0, iter:27] avg_LOSS: 2.051 | avg_ACC: 24.222% 
[epoch:0, iter:28] avg_LOSS: 2.046 | avg_ACC: 24.321% 
[epoch:0, iter:29] avg_LOSS: 2.044 | avg_ACC: 24.310% 
[epoch:0, iter:30] avg_LOSS: 2.048 | avg_ACC: 24.267% 
[epoch:0, iter:31] avg_LOSS: 2.038 | avg_ACC: 24.677% 
[epoch:0, iter:32] avg_LOSS: 2.033 | avg_ACC: 25.000% 
[epoch:0, iter:33] avg_LOSS: 2.027 | avg_ACC: 25.242% 
[epoch:0, iter:34] avg_LOSS: 2.016 | avg_ACC: 25.735% 
[epoch:0, iter:35] avg_LOSS: 2.014 | avg_ACC: 25.829% 
